month,price_inr_per_10g
2023-01,58023
2023-02,56730
2023-03,60150
2023-04,61080
2023-05,62740
2023-06,59180
2023-07,60600
2023-08,44320
2023-09,60550
2023-10,58350
2023-11,62350
2023-12,64400
2024-01,83180
2024-02,64000
2024-03,66270
2024-04,70000
2024-05,72000
2024-06,72500
2024-07,70716
2024-08,73340
2024-09,77913
2024-10,78015
2024-11,79000
2024-12,77963
2025-01,79910
2025-02,84890
2025-03,86050
2025-04,88310
2025-05,89400
2025-06,89800
2025-07,91550
2025-08,103310
2025-09,114440
2025-10,120815
2025-11,121113
