month,sensex_open
2023-01-01,60871.24
2023-02-01,60001.17
2023-03-01,59136.48
2023-04-01,59131.16
2023-05-01,61301.61
2023-06-01,62736.47
2023-07-01,64836.16
2023-08-01,66532.98
2023-09-01,64855.51
2023-10-01,65813.42
2023-11-01,63829.87
2023-12-01,67181.15
2024-01-01,72218.39
2024-02-01,71998.78
2024-03-01,72606.31
2024-04-01,73968.62
2024-05-01,74391.73
2024-06-01,76583.29
2024-07-01,79043.35
2024-08-01,81949.68
2024-09-01,82725.28
2024-10-01,84257.17
2024-11-01,80023.75
2024-12-01,79743.87
2025-01-01,78265.07
2025-02-01,77637.01
2025-03-01,73427.65
2025-04-01,76882.58
2025-05-01,80300.19
2025-06-01,81214.42
2025-07-01,83685.66
2025-08-01,81074.41
2025-09-01,79828.99
2025-10-01,80173.24
2025-11-01,83835.10
2025-12-01,86065.92
2026-01-01,85255.55
2026-02-01,82388.97
